steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
1,0.0001,49.59419083595276,885,True,14.0,14.0,575
2,0.001,258.6730031967163,1229,True,14.0,14.0,569
2,0.01,143.91617727279663,3439,True,14.0,14.0,3422
1,0.0001,77.52384686470032,431,True,14.0,14.0,251
2,0.0001,246.33472108840942,1000,True,14.0,21.0,282
2,0.0001,253.0801191329956,2864,True,14.0,21.0,520
1,0.001,36.9548921585083,1786,True,14.0,21.0,328
1,0.01,79.32200479507446,349,False,14.0,14.0,209
1,0.01,35.00930714607239,800,True,14.0,14.0,495
3,0.01,165.75839614868164,315,False,14.0,28.0,180
2,0.01,124.88341784477234,1713,True,14.0,21.0,324
3,0.01,147.31072402000427,1745,True,14.0,14.0,1700
1,0.01,37.687721967697144,396,False,14.0,70.0,167
3,0.01,117.03030300140381,699,True,14.0,14.0,457
1,0.0001,58.02426314353943,2049,True,14.0,21.0,370
